date,ac
2011-6-8,11.69
2011-6-9,11.47
2011-6-10,11.54
2011-6-13,11.48
2011-6-14,11.55
2011-6-15,11.43
2011-6-16,11.27
2011-6-17,11.63
2011-6-20,11.52
2011-6-21,11.69
2011-6-22,11.94
2011-6-23,12.05
2011-6-24,12.23
2011-6-27,12.16
2011-6-28,12.07
2011-6-29,12.04
2011-6-30,12.22
2011-7-1,12.22
2011-7-4,12.42
2011-7-5,12.42
2011-7-6,12.51
2011-7-8,12.31
2011-7-11,12.39
2011-7-12,12.21
2011-7-13,12.4
2011-7-14,12.31
2011-7-15,12.45
2011-7-18,12.75
2011-7-19,12.58
2011-7-20,12.73
2011-7-21,12.66
2011-7-22,12.64
2011-7-25,12.12
2011-7-26,12.21
2011-7-27,12.23
2011-7-28,12.11
2011-7-29,11.85
2011-8-1,11.83
2011-8-2,11.6
2011-8-3,11.55
2011-8-4,11.82
2011-8-5,11.64
2011-8-8,11.42
2011-8-9,11.47
2011-8-10,11.58
2011-8-11,11.8
2011-8-12,11.74
2011-8-15,11.76
2011-8-16,11.73
2011-8-17,11.71
2011-8-18,11.59
2011-8-19,11.49
2011-8-22,11.16
2011-8-23,11.26
2011-8-24,11.15
2011-8-25,11.52
2011-8-26,11.43
2011-8-29,11.17
2011-8-30,11.24
2011-8-31,11.3
2011-9-1,11.32
2011-9-2,11.26
2011-9-5,11.07
2011-9-6,10.73
2011-9-7,10.78
2011-9-8,10.63
2011-9-9,10.63
2011-9-13,10.5
2011-9-14,10.53
2011-9-15,10.57
2011-9-16,10.43
2011-9-19,10.18
2011-9-20,9.95
2011-9-21,10.18
2011-9-22,9.91
2011-9-23,9.79
2011-9-26,9.65
2011-9-27,9.92
2011-9-28,9.96
2011-9-29,10.06
2011-9-30,9.93
2011-10-10,9.66
2011-10-11,9.69
2011-10-12,10.11
2011-10-13,10.11
2011-10-14,10.09
2011-10-17,10.34
2011-10-18,10.25
2011-10-19,10.1
2011-10-20,9.75
2011-10-21,9.72
2011-10-24,9.96
2011-10-25,10.38
2011-10-26,10.4
2011-10-27,10.49
2011-10-28,10.73
2011-10-31,10.25
2011-11-1,10.15
2011-11-2,10.12
2011-11-3,10.12
2011-11-4,10.24
2011-11-7,10.07
2011-11-8,9.96
2011-11-9,10.02
2011-11-10,9.98
2011-11-11,10.05
2011-11-14,10.21
2011-11-15,10.16
2011-11-16,9.87
2011-11-17,9.88
2011-11-18,9.56
2011-11-21,9.51
2011-11-22,9.27
2011-11-23,9.11
2011-11-24,9.12
2011-11-25,8.97
2011-11-28,8.81
2011-11-29,8.9
2011-11-30,8.65
2011-12-1,8.77
2011-12-2,8.51
2011-12-5,8.13
2011-12-6,8.19
2011-12-7,8.15
2011-12-8,8
